group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i128 same input,i128 :: naive_midpoint,,,,976500.0,ns,456934
i128 same input,i128 :: naive_midpoint,,,,1948100.0,ns,913868
i128 same input,i128 :: naive_midpoint,,,,2984100.0,ns,1370802
i128 same input,i128 :: naive_midpoint,,,,3906700.0,ns,1827736
i128 same input,i128 :: naive_midpoint,,,,4851100.0,ns,2284670
i128 same input,i128 :: naive_midpoint,,,,5188800.0,ns,2741604
i128 same input,i128 :: naive_midpoint,,,,6263000.0,ns,3198538
i128 same input,i128 :: naive_midpoint,,,,7148400.0,ns,3655472
i128 same input,i128 :: naive_midpoint,,,,7981700.0,ns,4112406
i128 same input,i128 :: naive_midpoint,,,,9048800.0,ns,4569340
i128 same input,i128 :: naive_midpoint,,,,10128400.0,ns,5026274
i128 same input,i128 :: naive_midpoint,,,,10365100.0,ns,5483208
i128 same input,i128 :: naive_midpoint,,,,11456500.0,ns,5940142
i128 same input,i128 :: naive_midpoint,,,,12327500.0,ns,6397076
i128 same input,i128 :: naive_midpoint,,,,13213700.0,ns,6854010
i128 same input,i128 :: naive_midpoint,,,,14335200.0,ns,7310944
i128 same input,i128 :: naive_midpoint,,,,17033200.0,ns,7767878
i128 same input,i128 :: naive_midpoint,,,,17967300.0,ns,8224812
i128 same input,i128 :: naive_midpoint,,,,19020400.0,ns,8681746
i128 same input,i128 :: naive_midpoint,,,,17636900.0,ns,9138680
i128 same input,i128 :: naive_midpoint,,,,18441100.0,ns,9595614
i128 same input,i128 :: naive_midpoint,,,,19848300.0,ns,10052548
i128 same input,i128 :: naive_midpoint,,,,21406900.0,ns,10509482
i128 same input,i128 :: naive_midpoint,,,,23938100.0,ns,10966416
i128 same input,i128 :: naive_midpoint,,,,23874800.0,ns,11423350
i128 same input,i128 :: naive_midpoint,,,,24747000.0,ns,11880284
i128 same input,i128 :: naive_midpoint,,,,25699200.0,ns,12337218
i128 same input,i128 :: naive_midpoint,,,,25524500.0,ns,12794152
i128 same input,i128 :: naive_midpoint,,,,25987300.0,ns,13251086
i128 same input,i128 :: naive_midpoint,,,,26786800.0,ns,13708020
i128 same input,i128 :: naive_midpoint,,,,35338700.0,ns,14164954
i128 same input,i128 :: naive_midpoint,,,,40787500.0,ns,14621888
i128 same input,i128 :: naive_midpoint,,,,29341200.0,ns,15078822
i128 same input,i128 :: naive_midpoint,,,,30103600.0,ns,15535756
i128 same input,i128 :: naive_midpoint,,,,31073200.0,ns,15992690
i128 same input,i128 :: naive_midpoint,,,,34608300.0,ns,16449624
i128 same input,i128 :: naive_midpoint,,,,35564300.0,ns,16906558
i128 same input,i128 :: naive_midpoint,,,,35285600.0,ns,17363492
i128 same input,i128 :: naive_midpoint,,,,34204500.0,ns,17820426
i128 same input,i128 :: naive_midpoint,,,,38504500.0,ns,18277360
i128 same input,i128 :: naive_midpoint,,,,47545200.0,ns,18734294
i128 same input,i128 :: naive_midpoint,,,,40084300.0,ns,19191228
i128 same input,i128 :: naive_midpoint,,,,39564800.0,ns,19648162
i128 same input,i128 :: naive_midpoint,,,,42546600.0,ns,20105096
i128 same input,i128 :: naive_midpoint,,,,41319900.0,ns,20562030
i128 same input,i128 :: naive_midpoint,,,,43448600.0,ns,21018964
i128 same input,i128 :: naive_midpoint,,,,51648500.0,ns,21475898
i128 same input,i128 :: naive_midpoint,,,,44700200.0,ns,21932832
i128 same input,i128 :: naive_midpoint,,,,45660200.0,ns,22389766
i128 same input,i128 :: naive_midpoint,,,,45118400.0,ns,22846700
i128 same input,i128 :: naive_midpoint,,,,48446400.0,ns,23303634
i128 same input,i128 :: naive_midpoint,,,,47526200.0,ns,23760568
i128 same input,i128 :: naive_midpoint,,,,50713600.0,ns,24217502
i128 same input,i128 :: naive_midpoint,,,,47782400.0,ns,24674436
i128 same input,i128 :: naive_midpoint,,,,57367100.0,ns,25131370
i128 same input,i128 :: naive_midpoint,,,,57325400.0,ns,25588304
i128 same input,i128 :: naive_midpoint,,,,57090300.0,ns,26045238
i128 same input,i128 :: naive_midpoint,,,,61785000.0,ns,26502172
i128 same input,i128 :: naive_midpoint,,,,63275100.0,ns,26959106
i128 same input,i128 :: naive_midpoint,,,,64686100.0,ns,27416040
i128 same input,i128 :: naive_midpoint,,,,69067900.0,ns,27872974
i128 same input,i128 :: naive_midpoint,,,,75057500.0,ns,28329908
i128 same input,i128 :: naive_midpoint,,,,61008400.0,ns,28786842
i128 same input,i128 :: naive_midpoint,,,,61315300.0,ns,29243776
i128 same input,i128 :: naive_midpoint,,,,58238200.0,ns,29700710
i128 same input,i128 :: naive_midpoint,,,,61168800.0,ns,30157644
i128 same input,i128 :: naive_midpoint,,,,60963700.0,ns,30614578
i128 same input,i128 :: naive_midpoint,,,,62370100.0,ns,31071512
i128 same input,i128 :: naive_midpoint,,,,64580600.0,ns,31528446
i128 same input,i128 :: naive_midpoint,,,,62900000.0,ns,31985380
i128 same input,i128 :: naive_midpoint,,,,65156100.0,ns,32442314
i128 same input,i128 :: naive_midpoint,,,,65878300.0,ns,32899248
i128 same input,i128 :: naive_midpoint,,,,65892500.0,ns,33356182
i128 same input,i128 :: naive_midpoint,,,,67939400.0,ns,33813116
i128 same input,i128 :: naive_midpoint,,,,67487900.0,ns,34270050
i128 same input,i128 :: naive_midpoint,,,,71600800.0,ns,34726984
i128 same input,i128 :: naive_midpoint,,,,69808800.0,ns,35183918
i128 same input,i128 :: naive_midpoint,,,,76216600.0,ns,35640852
i128 same input,i128 :: naive_midpoint,,,,81997900.0,ns,36097786
i128 same input,i128 :: naive_midpoint,,,,75727300.0,ns,36554720
i128 same input,i128 :: naive_midpoint,,,,73840000.0,ns,37011654
i128 same input,i128 :: naive_midpoint,,,,83901400.0,ns,37468588
i128 same input,i128 :: naive_midpoint,,,,76722600.0,ns,37925522
i128 same input,i128 :: naive_midpoint,,,,75226600.0,ns,38382456
i128 same input,i128 :: naive_midpoint,,,,87410700.0,ns,38839390
i128 same input,i128 :: naive_midpoint,,,,93496700.0,ns,39296324
i128 same input,i128 :: naive_midpoint,,,,92343700.0,ns,39753258
i128 same input,i128 :: naive_midpoint,,,,82974000.0,ns,40210192
i128 same input,i128 :: naive_midpoint,,,,82787700.0,ns,40667126
i128 same input,i128 :: naive_midpoint,,,,88033300.0,ns,41124060
i128 same input,i128 :: naive_midpoint,,,,83248800.0,ns,41580994
i128 same input,i128 :: naive_midpoint,,,,85430000.0,ns,42037928
i128 same input,i128 :: naive_midpoint,,,,83874700.0,ns,42494862
i128 same input,i128 :: naive_midpoint,,,,85815300.0,ns,42951796
i128 same input,i128 :: naive_midpoint,,,,85848000.0,ns,43408730
i128 same input,i128 :: naive_midpoint,,,,87787300.0,ns,43865664
i128 same input,i128 :: naive_midpoint,,,,92818500.0,ns,44322598
i128 same input,i128 :: naive_midpoint,,,,99450700.0,ns,44779532
i128 same input,i128 :: naive_midpoint,,,,93719600.0,ns,45236466
i128 same input,i128 :: naive_midpoint,,,,92779200.0,ns,45693400
