group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,1456400.0,ns,470803
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,3561600.0,ns,941606
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,5469500.0,ns,1412409
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,7433200.0,ns,1883212
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,8962200.0,ns,2354015
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,5964300.0,ns,2824818
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,6610100.0,ns,3295621
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,7967800.0,ns,3766424
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,7924900.0,ns,4237227
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,12209400.0,ns,4708030
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,13315200.0,ns,5178833
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,10985800.0,ns,5649636
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,12031700.0,ns,6120439
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,13991900.0,ns,6591242
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,14209100.0,ns,7062045
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,15093900.0,ns,7532848
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,15185400.0,ns,8003651
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,16833100.0,ns,8474454
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,25003400.0,ns,8945257
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,19039000.0,ns,9416060
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,21152100.0,ns,9886863
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,21646000.0,ns,10357666
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,19594300.0,ns,10828469
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,20343400.0,ns,11299272
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,24248700.0,ns,11770075
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,25963000.0,ns,12240878
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,25903900.0,ns,12711681
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,24504100.0,ns,13182484
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,27245100.0,ns,13653287
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,26636000.0,ns,14124090
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,32331300.0,ns,14594893
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,34217800.0,ns,15065696
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,33784600.0,ns,15536499
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,30470800.0,ns,16007302
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,31661000.0,ns,16478105
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,33444400.0,ns,16948908
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,33883100.0,ns,17419711
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,37505800.0,ns,17890514
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,39674300.0,ns,18361317
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,40007000.0,ns,18832120
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,41596100.0,ns,19302923
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,45289300.0,ns,19773726
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,40926000.0,ns,20244529
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,40819800.0,ns,20715332
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,42115800.0,ns,21186135
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,44924500.0,ns,21656938
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,44205800.0,ns,22127741
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,46028600.0,ns,22598544
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,51282700.0,ns,23069347
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,51393900.0,ns,23540150
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,48389500.0,ns,24010953
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,53826900.0,ns,24481756
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,52482600.0,ns,24952559
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,48191800.0,ns,25423362
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,50451100.0,ns,25894165
i32 same input,i32 :: midpoint_via_bitwise_ops,,,,52788600.0,ns,26364968
