group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,2223000.0,ns,591127
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,3616000.0,ns,1182254
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,5489600.0,ns,1773381
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,7309600.0,ns,2364508
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,5451100.0,ns,2955635
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,5457200.0,ns,3546762
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,6369200.0,ns,4137889
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,7312200.0,ns,4729016
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,8219700.0,ns,5320143
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,9555500.0,ns,5911270
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,12273000.0,ns,6502397
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,10967600.0,ns,7093524
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,12176900.0,ns,7684651
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,12742900.0,ns,8275778
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,13775000.0,ns,8866905
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,14607300.0,ns,9458032
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,15520400.0,ns,10049159
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,16538100.0,ns,10640286
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,17984200.0,ns,11231413
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,18446700.0,ns,11822540
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,22423000.0,ns,12413667
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,19088500.0,ns,13004794
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,19638900.0,ns,13595921
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,21932600.0,ns,14187048
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,21347000.0,ns,14778175
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,23653400.0,ns,15369302
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,26403400.0,ns,15960429
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,25389700.0,ns,16551556
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,32275000.0,ns,17142683
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,32687600.0,ns,17733810
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,36405500.0,ns,18324937
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,33202800.0,ns,18916064
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,33817800.0,ns,19507191
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,33249200.0,ns,20098318
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,32799200.0,ns,20689445
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,36704400.0,ns,21280572
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,37686600.0,ns,21871699
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,36963300.0,ns,22462826
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,35413200.0,ns,23053953
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,36133300.0,ns,23645080
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,37543600.0,ns,24236207
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,46619700.0,ns,24827334
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,37783700.0,ns,25418461
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,41878600.0,ns,26009588
i32 same input,i32 :: midpoint_via_cpp_20_std_implementation,,,,40494400.0,ns,26600715
