group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,1144800.0,ns,586683
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,1867700.0,ns,1173366
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,2877400.0,ns,1760049
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,4028600.0,ns,2346732
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,4936400.0,ns,2933415
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,6497900.0,ns,3520098
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,6811700.0,ns,4106781
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,7478500.0,ns,4693464
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,10669000.0,ns,5280147
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,10769500.0,ns,5866830
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,9348500.0,ns,6453513
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,10400900.0,ns,7040196
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,11231500.0,ns,7626879
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,12174600.0,ns,8213562
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,13255800.0,ns,8800245
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,13391200.0,ns,9386928
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,14379600.0,ns,9973611
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,15564600.0,ns,10560294
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,16213700.0,ns,11146977
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,16957300.0,ns,11733660
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,18297400.0,ns,12320343
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,18672400.0,ns,12907026
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,20309900.0,ns,13493709
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,22865300.0,ns,14080392
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,22505700.0,ns,14667075
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,23817300.0,ns,15253758
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,22964500.0,ns,15840441
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,25575300.0,ns,16427124
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,26539900.0,ns,17013807
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,27472700.0,ns,17600490
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,29561700.0,ns,18187173
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,33232400.0,ns,18773856
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,32912900.0,ns,19360539
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,31391200.0,ns,19947222
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,32018500.0,ns,20533905
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,33370900.0,ns,21120588
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,38611600.0,ns,21707271
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,34610700.0,ns,22293954
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,35603700.0,ns,22880637
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,39619200.0,ns,23467320
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,52911800.0,ns,24054003
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,46131000.0,ns,24640686
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,39489500.0,ns,25227369
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,39734000.0,ns,25814052
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,38156100.0,ns,26400735
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,39235000.0,ns,26987418
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,47005000.0,ns,27574101
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,42466400.0,ns,28160784
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,44460100.0,ns,28747467
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,45039700.0,ns,29334150
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,43570600.0,ns,29920833
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,48811200.0,ns,30507516
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,50037500.0,ns,31094199
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,47838900.0,ns,31680882
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,58366700.0,ns,32267565
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,52745100.0,ns,32854248
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,53205000.0,ns,33440931
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,84872300.0,ns,34027614
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,61745100.0,ns,34614297
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,55183000.0,ns,35200980
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,58754000.0,ns,35787663
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,65660700.0,ns,36374346
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,59270000.0,ns,36961029
i32 same input,i32 :: midpoint_via_primitive_promotion,,,,60253400.0,ns,37547712
