group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,1326700.0,ns,501137
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,1931400.0,ns,1002274
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,2771700.0,ns,1503411
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,3405300.0,ns,2004548
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,4262400.0,ns,2505685
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,5228000.0,ns,3006822
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,6534000.0,ns,3507959
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,7010000.0,ns,4009096
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,7774400.0,ns,4510233
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,8630700.0,ns,5011370
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,9546300.0,ns,5512507
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,11075300.0,ns,6013644
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,11147000.0,ns,6514781
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,12233400.0,ns,7015918
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,13783400.0,ns,7517055
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,14974800.0,ns,8018192
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,15812500.0,ns,8519329
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,15788200.0,ns,9020466
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,16716700.0,ns,9521603
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,17236900.0,ns,10022740
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,18096200.0,ns,10523877
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,19274600.0,ns,11025014
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,25113200.0,ns,11526151
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,24714800.0,ns,12027288
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,21628600.0,ns,12528425
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,23201000.0,ns,13029562
i64 same input,i64 :: midpoint_via_bitwise_ops,,,,23300600.0,ns,13530699
