group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,983000.0,ns,574602
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,1826900.0,ns,1149204
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,2915800.0,ns,1723806
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,4072000.0,ns,2298408
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,5072000.0,ns,2873010
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,5119700.0,ns,3447612
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,5687200.0,ns,4022214
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,6697800.0,ns,4596816
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,7790300.0,ns,5171418
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,8461700.0,ns,5746020
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,9112900.0,ns,6320622
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,10747400.0,ns,6895224
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,11602400.0,ns,7469826
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,12463700.0,ns,8044428
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,13327700.0,ns,8619030
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,16633800.0,ns,9193632
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,17863500.0,ns,9768234
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,17984400.0,ns,10342836
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,19588100.0,ns,10917438
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,18846100.0,ns,11492040
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,22670300.0,ns,12066642
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,20429000.0,ns,12641244
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,20602200.0,ns,13215846
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,21555000.0,ns,13790448
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,22325900.0,ns,14365050
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,23214500.0,ns,14939652
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,24274900.0,ns,15514254
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,26006300.0,ns,16088856
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,27634700.0,ns,16663458
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,27544900.0,ns,17238060
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,28595100.0,ns,17812662
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,29006900.0,ns,18387264
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,30381500.0,ns,18961866
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,30245700.0,ns,19536468
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,31228300.0,ns,20111070
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,32395100.0,ns,20685672
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,33180500.0,ns,21260274
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,34924900.0,ns,21834876
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,34033500.0,ns,22409478
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,33006300.0,ns,22984080
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,37177300.0,ns,23558682
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,37985200.0,ns,24133284
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,36411200.0,ns,24707886
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,39838800.0,ns,25282488
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,42353800.0,ns,25857090
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,42054900.0,ns,26431692
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,39631100.0,ns,27006294
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,44157000.0,ns,27580896
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,44019900.0,ns,28155498
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,46548400.0,ns,28730100
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,53114300.0,ns,29304702
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,46201700.0,ns,29879304
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,57457200.0,ns,30453906
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,49466600.0,ns,31028508
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,55765100.0,ns,31603110
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,56090900.0,ns,32177712
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,49369800.0,ns,32752314
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,65306700.0,ns,33326916
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,60015800.0,ns,33901518
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,53332400.0,ns,34476120
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,53136000.0,ns,35050722
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,62139000.0,ns,35625324
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,63309300.0,ns,36199926
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,55398200.0,ns,36774528
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,59205300.0,ns,37349130
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,81656200.0,ns,37923732
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,67716300.0,ns,38498334
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,66000600.0,ns,39072936
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,61217200.0,ns,39647538
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,62659800.0,ns,40222140
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,61888800.0,ns,40796742
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,67796700.0,ns,41371344
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,65292300.0,ns,41945946
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,68597200.0,ns,42520548
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,62843700.0,ns,43095150
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,73301500.0,ns,43669752
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,66115500.0,ns,44244354
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,65435400.0,ns,44818956
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,65173700.0,ns,45393558
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,66878800.0,ns,45968160
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,68949300.0,ns,46542762
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,73333700.0,ns,47117364
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,74258700.0,ns,47691966
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,81513600.0,ns,48266568
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,82436300.0,ns,48841170
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,83117800.0,ns,49415772
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,78275200.0,ns,49990374
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,81926200.0,ns,50564976
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,100454600.0,ns,51139578
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,78121900.0,ns,51714180
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,79518000.0,ns,52288782
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,82667800.0,ns,52863384
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,81125900.0,ns,53437986
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,114211900.0,ns,54012588
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,80617600.0,ns,54587190
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,85040700.0,ns,55161792
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,86089300.0,ns,55736394
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,87228000.0,ns,56310996
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,106612800.0,ns,56885598
i64 same input,i64 :: midpoint_via_naive_midpoint_diff,,,,84763400.0,ns,57460200
