group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i64 same input,i64 :: naive_midpoint,,,,1092400.0,ns,574311
i64 same input,i64 :: naive_midpoint,,,,1957800.0,ns,1148622
i64 same input,i64 :: naive_midpoint,,,,2788600.0,ns,1722933
i64 same input,i64 :: naive_midpoint,,,,3656700.0,ns,2297244
i64 same input,i64 :: naive_midpoint,,,,4561000.0,ns,2871555
i64 same input,i64 :: naive_midpoint,,,,5386600.0,ns,3445866
i64 same input,i64 :: naive_midpoint,,,,6344100.0,ns,4020177
i64 same input,i64 :: naive_midpoint,,,,7178100.0,ns,4594488
i64 same input,i64 :: naive_midpoint,,,,8022700.0,ns,5168799
i64 same input,i64 :: naive_midpoint,,,,8945200.0,ns,5743110
i64 same input,i64 :: naive_midpoint,,,,9772900.0,ns,6317421
i64 same input,i64 :: naive_midpoint,,,,10656100.0,ns,6891732
i64 same input,i64 :: naive_midpoint,,,,11660100.0,ns,7466043
i64 same input,i64 :: naive_midpoint,,,,12539400.0,ns,8040354
i64 same input,i64 :: naive_midpoint,,,,13385800.0,ns,8614665
i64 same input,i64 :: naive_midpoint,,,,14277500.0,ns,9188976
i64 same input,i64 :: naive_midpoint,,,,15144900.0,ns,9763287
i64 same input,i64 :: naive_midpoint,,,,16749500.0,ns,10337598
i64 same input,i64 :: naive_midpoint,,,,18440600.0,ns,10911909
i64 same input,i64 :: naive_midpoint,,,,18460200.0,ns,11486220
i64 same input,i64 :: naive_midpoint,,,,18689600.0,ns,12060531
i64 same input,i64 :: naive_midpoint,,,,19664900.0,ns,12634842
i64 same input,i64 :: naive_midpoint,,,,21071900.0,ns,13209153
i64 same input,i64 :: naive_midpoint,,,,21666900.0,ns,13783464
i64 same input,i64 :: naive_midpoint,,,,22414500.0,ns,14357775
i64 same input,i64 :: naive_midpoint,,,,23357200.0,ns,14932086
i64 same input,i64 :: naive_midpoint,,,,24067700.0,ns,15506397
i64 same input,i64 :: naive_midpoint,,,,30460000.0,ns,16080708
