group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,1115200.0,ns,535122
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,2887000.0,ns,1070244
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,2560300.0,ns,1605366
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,3319900.0,ns,2140488
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,4125600.0,ns,2675610
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,5667400.0,ns,3210732
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,9241700.0,ns,3745854
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,7862100.0,ns,4280976
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,9660400.0,ns,4816098
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,8303800.0,ns,5351220
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,18064200.0,ns,5886342
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,17053300.0,ns,6421464
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,11623400.0,ns,6956586
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,11692900.0,ns,7491708
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,12877000.0,ns,8026830
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,13862700.0,ns,8561952
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,18822100.0,ns,9097074
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,18852000.0,ns,9632196
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,17222600.0,ns,10167318
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,16770700.0,ns,10702440
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,17384700.0,ns,11237562
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,18207000.0,ns,11772684
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,19130800.0,ns,12307806
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,20109100.0,ns,12842928
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,20931500.0,ns,13378050
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,21574100.0,ns,13913172
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,24988100.0,ns,14448294
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,23671200.0,ns,14983416
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,34321800.0,ns,15518538
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,24996800.0,ns,16053660
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,25760000.0,ns,16588782
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,26660100.0,ns,17123904
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,28486600.0,ns,17659026
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,28473400.0,ns,18194148
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,30231000.0,ns,18729270
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,29996800.0,ns,19264392
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,42301000.0,ns,19799514
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,31403800.0,ns,20334636
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,32215000.0,ns,20869758
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,33800400.0,ns,21404880
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,34213400.0,ns,21940002
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,34879000.0,ns,22475124
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,35573800.0,ns,23010246
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,43491300.0,ns,23545368
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,38479900.0,ns,24080490
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,46418500.0,ns,24615612
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,40367900.0,ns,25150734
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,39990400.0,ns,25685856
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,40891600.0,ns,26220978
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,50612700.0,ns,26756100
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,48562300.0,ns,27291222
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,48324600.0,ns,27826344
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,44016300.0,ns,28361466
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,46562300.0,ns,28896588
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,47233600.0,ns,29431710
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,47487900.0,ns,29966832
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,49095400.0,ns,30501954
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,48282200.0,ns,31037076
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,53294500.0,ns,31572198
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,50294000.0,ns,32107320
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,64928600.0,ns,32642442
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,51762900.0,ns,33177564
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,60985000.0,ns,33712686
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,53171000.0,ns,34247808
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,74252000.0,ns,34782930
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,62090600.0,ns,35318052
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,61488300.0,ns,35853174
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,59335400.0,ns,36388296
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,62604800.0,ns,36923418
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,86501700.0,ns,37458540
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,61933200.0,ns,37993662
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,72740700.0,ns,38528784
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,71265000.0,ns,39063906
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,70909400.0,ns,39599028
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,72636100.0,ns,40134150
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,62968000.0,ns,40669272
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,66931000.0,ns,41204394
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,70186300.0,ns,41739516
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,64235100.0,ns,42274638
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,75561400.0,ns,42809760
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,75146800.0,ns,43344882
i8 same input,i8 :: midpoint_via_cpp_20_std_implementation,,,,82289500.0,ns,43880004
