group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,945200.0,ns,528092
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,1757000.0,ns,1056184
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,2429900.0,ns,1584276
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,2992700.0,ns,2112368
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,3750400.0,ns,2640460
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,6445700.0,ns,3168552
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,5730700.0,ns,3696644
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,6533500.0,ns,4224736
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,15018300.0,ns,4752828
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,9174700.0,ns,5280920
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,9029200.0,ns,5809012
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,9839800.0,ns,6337104
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,11158100.0,ns,6865196
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,11759600.0,ns,7393288
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,12246800.0,ns,7921380
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,21712800.0,ns,8449472
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,13970200.0,ns,8977564
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,14975000.0,ns,9505656
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,15572900.0,ns,10033748
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,19088600.0,ns,10561840
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,17293200.0,ns,11089932
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,18274900.0,ns,11618024
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,24422500.0,ns,12146116
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,19841000.0,ns,12674208
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,30271000.0,ns,13202300
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,33109700.0,ns,13730392
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,29830500.0,ns,14258484
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,31159100.0,ns,14786576
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,24593900.0,ns,15314668
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,35286200.0,ns,15842760
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,41790200.0,ns,16370852
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,33973700.0,ns,16898944
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,27260200.0,ns,17427036
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,43991500.0,ns,17955128
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,35778900.0,ns,18483220
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,32713800.0,ns,19011312
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,30490000.0,ns,19539404
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,31469900.0,ns,20067496
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,31966000.0,ns,20595588
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,32796200.0,ns,21123680
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,33855700.0,ns,21651772
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,33995100.0,ns,22179864
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,35424100.0,ns,22707956
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,35967600.0,ns,23236048
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,35977900.0,ns,23764140
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,37991700.0,ns,24292232
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,38630200.0,ns,24820324
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,38990700.0,ns,25348416
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,51712000.0,ns,25876508
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,41003500.0,ns,26404600
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,42598600.0,ns,26932692
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,47801100.0,ns,27460784
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,68350700.0,ns,27988876
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,80239800.0,ns,28516968
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,54258600.0,ns,29045060
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,53695700.0,ns,29573152
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,46958000.0,ns,30101244
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,73632800.0,ns,30629336
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,57838100.0,ns,31157428
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,82048100.0,ns,31685520
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,71287900.0,ns,32213612
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,51241500.0,ns,32741704
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,52664700.0,ns,33269796
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,76637800.0,ns,33797888
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,63336500.0,ns,34325980
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,55596300.0,ns,34854072
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,67074300.0,ns,35382164
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,80229000.0,ns,35910256
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,68213000.0,ns,36438348
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,67337600.0,ns,36966440
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,82554500.0,ns,37494532
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,70282900.0,ns,38022624
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,73249200.0,ns,38550716
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,66554000.0,ns,39078808
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,67908000.0,ns,39606900
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,64675700.0,ns,40134992
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,67380200.0,ns,40663084
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,66583300.0,ns,41191176
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,73927000.0,ns,41719268
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,96631300.0,ns,42247360
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,107391600.0,ns,42775452
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,67804900.0,ns,43303544
i8 same input,i8 :: midpoint_via_naive_midpoint_diff,,,,101477100.0,ns,43831636
