group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,1232500.0,ns,587117
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,1846400.0,ns,1174234
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,2626900.0,ns,1761351
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,3479600.0,ns,2348468
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,4298100.0,ns,2935585
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,6013900.0,ns,3522702
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,6032200.0,ns,4109819
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,7069200.0,ns,4696936
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,7458500.0,ns,5284053
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,8872500.0,ns,5871170
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,9238000.0,ns,6458287
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,10089900.0,ns,7045404
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,11080300.0,ns,7632521
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,11840000.0,ns,8219638
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,13021500.0,ns,8806755
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,22916800.0,ns,9393872
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,25496700.0,ns,9980989
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,15581300.0,ns,10568106
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,16060200.0,ns,11155223
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,16931200.0,ns,11742340
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,33359200.0,ns,12329457
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,20266400.0,ns,12916574
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,22167200.0,ns,13503691
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,21804400.0,ns,14090808
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,22269500.0,ns,14677925
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,22784100.0,ns,15265042
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,28646100.0,ns,15852159
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,28898900.0,ns,16439276
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,26911800.0,ns,17026393
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,27805300.0,ns,17613510
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,30558900.0,ns,18200627
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,32336200.0,ns,18787744
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,44497400.0,ns,19374861
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,33203000.0,ns,19961978
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,32289700.0,ns,20549095
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,32331900.0,ns,21136212
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,32874900.0,ns,21723329
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,35120500.0,ns,22310446
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,36336200.0,ns,22897563
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,42775800.0,ns,23484680
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,38026700.0,ns,24071797
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,38244600.0,ns,24658914
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,36992800.0,ns,25246031
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,37556600.0,ns,25833148
i8 same input,i8 :: midpoint_via_primitive_promotion,,,,39990000.0,ns,26420265
