group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,1422900.0,ns,463304
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,2069700.0,ns,926608
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,3461900.0,ns,1389912
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,3834600.0,ns,1853216
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,4793100.0,ns,2316520
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,6290500.0,ns,2779824
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,6963100.0,ns,3243128
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,7746300.0,ns,3706432
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,9036900.0,ns,4169736
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,9805300.0,ns,4633040
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,10765300.0,ns,5096344
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,11582600.0,ns,5559648
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,12662100.0,ns,6022952
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,15274500.0,ns,6486256
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,14963200.0,ns,6949560
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,15631600.0,ns,7412864
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,16676300.0,ns,7876168
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,17629100.0,ns,8339472
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,18478200.0,ns,8802776
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,19533700.0,ns,9266080
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,21042200.0,ns,9729384
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,21781300.0,ns,10192688
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,22423100.0,ns,10655992
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,23701100.0,ns,11119296
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,24324400.0,ns,11582600
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,25092400.0,ns,12045904
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,27031700.0,ns,12509208
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,27505600.0,ns,12972512
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,28384700.0,ns,13435816
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,29403300.0,ns,13899120
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,32504600.0,ns,14362424
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,33972400.0,ns,14825728
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,32433500.0,ns,15289032
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,32966000.0,ns,15752336
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,34275900.0,ns,16215640
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,35461900.0,ns,16678944
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,36361500.0,ns,17142248
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,37425400.0,ns,17605552
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,38109400.0,ns,18068856
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,39755200.0,ns,18532160
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,40260800.0,ns,18995464
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,41288900.0,ns,19458768
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,41985500.0,ns,19922072
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,42785700.0,ns,20385376
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,44360600.0,ns,20848680
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,45030900.0,ns,21311984
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,45688300.0,ns,21775288
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,47168900.0,ns,22238592
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,47574000.0,ns,22701896
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,50913300.0,ns,23165200
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,49863200.0,ns,23628504
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,51552500.0,ns,24091808
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,51873200.0,ns,24555112
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,52798000.0,ns,25018416
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,53970200.0,ns,25481720
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,57922700.0,ns,25945024
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,63538900.0,ns,26408328
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,57391500.0,ns,26871632
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,57500500.0,ns,27334936
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,58699500.0,ns,27798240
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,59978800.0,ns,28261544
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,61610600.0,ns,28724848
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,62767600.0,ns,29188152
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,62838600.0,ns,29651456
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,63273300.0,ns,30114760
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,64118800.0,ns,30578064
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,65691500.0,ns,31041368
u128 same input,u128 :: midpoint_via_cpp_20_std_implementation,,,,66191400.0,ns,31504672
