group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,1683200.0,ns,368072
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,3170300.0,ns,736144
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,5097800.0,ns,1104216
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,3647500.0,ns,1472288
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,5034700.0,ns,1840360
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,8404500.0,ns,2208432
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,6296500.0,ns,2576504
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,8063800.0,ns,2944576
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,8075000.0,ns,3312648
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,9339200.0,ns,3680720
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,10215100.0,ns,4048792
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,11171800.0,ns,4416864
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,12133100.0,ns,4784936
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,13026900.0,ns,5153008
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,14129700.0,ns,5521080
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,14573900.0,ns,5889152
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,18689100.0,ns,6257224
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,20942100.0,ns,6625296
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,18437000.0,ns,6993368
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,18515700.0,ns,7361440
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,19454900.0,ns,7729512
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,21232000.0,ns,8097584
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,22150100.0,ns,8465656
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,29909900.0,ns,8833728
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,22861500.0,ns,9201800
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,36145900.0,ns,9569872
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,38913000.0,ns,9937944
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,34666800.0,ns,10306016
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,31846400.0,ns,10674088
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,32393800.0,ns,11042160
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,37973500.0,ns,11410232
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,29021900.0,ns,11778304
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,30934500.0,ns,12146376
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,31375300.0,ns,12514448
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,32663300.0,ns,12882520
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,33649600.0,ns,13250592
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,35874100.0,ns,13618664
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,42373100.0,ns,13986736
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,35427900.0,ns,14354808
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,39989500.0,ns,14722880
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,36769700.0,ns,15090952
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,38202400.0,ns,15459024
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,52092400.0,ns,15827096
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,39887000.0,ns,16195168
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,42534000.0,ns,16563240
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,43721900.0,ns,16931312
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,47604300.0,ns,17299384
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,49098000.0,ns,17667456
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,46213400.0,ns,18035528
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,53935200.0,ns,18403600
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,46935900.0,ns,18771672
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,64058800.0,ns,19139744
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,48837000.0,ns,19507816
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,55224200.0,ns,19875888
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,52503800.0,ns,20243960
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,63492200.0,ns,20612032
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,71262900.0,ns,20980104
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,60879600.0,ns,21348176
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,62980700.0,ns,21716248
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,54594700.0,ns,22084320
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,55210200.0,ns,22452392
u128 same input,u128 :: midpoint_via_naive_midpoint_diff,,,,59054600.0,ns,22820464
