group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u128 same input,u128 :: naive_midpoint,,,,1810200.0,ns,408378
u128 same input,u128 :: naive_midpoint,,,,3303000.0,ns,816756
u128 same input,u128 :: naive_midpoint,,,,5356400.0,ns,1225134
u128 same input,u128 :: naive_midpoint,,,,3745400.0,ns,1633512
u128 same input,u128 :: naive_midpoint,,,,4247100.0,ns,2041890
u128 same input,u128 :: naive_midpoint,,,,5124600.0,ns,2450268
u128 same input,u128 :: naive_midpoint,,,,6189000.0,ns,2858646
u128 same input,u128 :: naive_midpoint,,,,6578900.0,ns,3267024
u128 same input,u128 :: naive_midpoint,,,,7516500.0,ns,3675402
u128 same input,u128 :: naive_midpoint,,,,8219500.0,ns,4083780
u128 same input,u128 :: naive_midpoint,,,,9656700.0,ns,4492158
u128 same input,u128 :: naive_midpoint,,,,9897500.0,ns,4900536
u128 same input,u128 :: naive_midpoint,,,,10991300.0,ns,5308914
u128 same input,u128 :: naive_midpoint,,,,11835000.0,ns,5717292
u128 same input,u128 :: naive_midpoint,,,,12582000.0,ns,6125670
u128 same input,u128 :: naive_midpoint,,,,13547300.0,ns,6534048
u128 same input,u128 :: naive_midpoint,,,,14388200.0,ns,6942426
u128 same input,u128 :: naive_midpoint,,,,15311500.0,ns,7350804
u128 same input,u128 :: naive_midpoint,,,,16038200.0,ns,7759182
u128 same input,u128 :: naive_midpoint,,,,16476000.0,ns,8167560
u128 same input,u128 :: naive_midpoint,,,,19064400.0,ns,8575938
u128 same input,u128 :: naive_midpoint,,,,18127500.0,ns,8984316
u128 same input,u128 :: naive_midpoint,,,,19114600.0,ns,9392694
u128 same input,u128 :: naive_midpoint,,,,19870100.0,ns,9801072
u128 same input,u128 :: naive_midpoint,,,,21518700.0,ns,10209450
u128 same input,u128 :: naive_midpoint,,,,21509900.0,ns,10617828
u128 same input,u128 :: naive_midpoint,,,,23398500.0,ns,11026206
u128 same input,u128 :: naive_midpoint,,,,27214900.0,ns,11434584
u128 same input,u128 :: naive_midpoint,,,,25126700.0,ns,11842962
u128 same input,u128 :: naive_midpoint,,,,25404800.0,ns,12251340
u128 same input,u128 :: naive_midpoint,,,,26175400.0,ns,12659718
