group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,1077400.0,ns,622329
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,2015900.0,ns,1244658
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,2830700.0,ns,1866987
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,3827000.0,ns,2489316
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,4573600.0,ns,3111645
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,6119300.0,ns,3733974
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,6515500.0,ns,4356303
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,10147800.0,ns,4978632
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,8989600.0,ns,5600961
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,9498700.0,ns,6223290
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,10402800.0,ns,6845619
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,11112500.0,ns,7467948
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,12459000.0,ns,8090277
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,13258100.0,ns,8712606
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,14012600.0,ns,9334935
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,16050500.0,ns,9957264
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,15931500.0,ns,10579593
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,18843100.0,ns,11201922
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,18020100.0,ns,11824251
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,18743700.0,ns,12446580
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,19864200.0,ns,13068909
u16 same input,u16 :: midpoint_via_cpp_20_std_implementation,,,,20923400.0,ns,13691238
