group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,1051900.0,ns,605852
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,1929500.0,ns,1211704
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,2728600.0,ns,1817556
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,3537600.0,ns,2423408
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,4773500.0,ns,3029260
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,5740500.0,ns,3635112
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,6010400.0,ns,4240964
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,7218200.0,ns,4846816
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,7840900.0,ns,5452668
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,9175100.0,ns,6058520
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,10424500.0,ns,6664372
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,11303100.0,ns,7270224
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,12321600.0,ns,7876076
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,12518900.0,ns,8481928
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,13616600.0,ns,9087780
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,14123300.0,ns,9693632
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,14980700.0,ns,10299484
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,15674400.0,ns,10905336
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,16902100.0,ns,11511188
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,18289500.0,ns,12117040
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,18589100.0,ns,12722892
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,19503000.0,ns,13328744
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,20653500.0,ns,13934596
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,21240300.0,ns,14540448
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,21950900.0,ns,15146300
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,22879300.0,ns,15752152
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,23690700.0,ns,16358004
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,30684600.0,ns,16963856
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,27693200.0,ns,17569708
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,27381200.0,ns,18175560
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,33044300.0,ns,18781412
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,32228900.0,ns,19387264
u16 same input,u16 :: midpoint_via_naive_midpoint_diff,,,,34170300.0,ns,19993116
