group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,1315400.0,ns,683785
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,2274100.0,ns,1367570
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,3372700.0,ns,2051355
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,3940000.0,ns,2735140
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,4829500.0,ns,3418925
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,6147100.0,ns,4102710
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,6986100.0,ns,4786495
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,7854100.0,ns,5470280
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,9128000.0,ns,6154065
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,9986700.0,ns,6837850
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,10699800.0,ns,7521635
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,11686800.0,ns,8205420
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,12925000.0,ns,8889205
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,15582100.0,ns,9572990
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,14787600.0,ns,10256775
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,16066200.0,ns,10940560
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,16675900.0,ns,11624345
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,17929500.0,ns,12308130
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,18454100.0,ns,12991915
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,19551200.0,ns,13675700
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,20574900.0,ns,14359485
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,21473100.0,ns,15043270
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,23133500.0,ns,15727055
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,23440600.0,ns,16410840
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,24738400.0,ns,17094625
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,25998300.0,ns,17778410
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,26564500.0,ns,18462195
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,27415100.0,ns,19145980
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,28306500.0,ns,19829765
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,29324500.0,ns,20513550
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,30204500.0,ns,21197335
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,31641900.0,ns,21881120
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,32321300.0,ns,22564905
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,33169100.0,ns,23248690
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,34090200.0,ns,23932475
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,35200100.0,ns,24616260
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,36177300.0,ns,25300045
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,37269500.0,ns,25983830
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,38913000.0,ns,26667615
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,40321500.0,ns,27351400
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,40117400.0,ns,28035185
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,44683500.0,ns,28718970
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,43776000.0,ns,29402755
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,43452300.0,ns,30086540
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,43970800.0,ns,30770325
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,45742400.0,ns,31454110
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,46138900.0,ns,32137895
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,47913300.0,ns,32821680
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,48257200.0,ns,33505465
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,49309100.0,ns,34189250
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,50334000.0,ns,34873035
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,51701500.0,ns,35556820
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,52285500.0,ns,36240605
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,54135000.0,ns,36924390
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,53804900.0,ns,37608175
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,55286600.0,ns,38291960
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,56217200.0,ns,38975745
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,57120900.0,ns,39659530
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,57872400.0,ns,40343315
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,58824800.0,ns,41027100
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,59834400.0,ns,41710885
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,61163700.0,ns,42394670
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,61891600.0,ns,43078455
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,63704500.0,ns,43762240
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,64055700.0,ns,44446025
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,65749700.0,ns,45129810
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,65965100.0,ns,45813595
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,67223000.0,ns,46497380
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,67453500.0,ns,47181165
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,68668100.0,ns,47864950
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,70209500.0,ns,48548735
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,72108500.0,ns,49232520
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,73403700.0,ns,49916305
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,72653400.0,ns,50600090
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,79293100.0,ns,51283875
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,75135500.0,ns,51967660
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,76012100.0,ns,52651445
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,76125500.0,ns,53335230
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,78946200.0,ns,54019015
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,79646600.0,ns,54702800
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,79920700.0,ns,55386585
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,81661300.0,ns,56070370
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,81048600.0,ns,56754155
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,82590800.0,ns,57437940
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,83328900.0,ns,58121725
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,85190200.0,ns,58805510
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,85300400.0,ns,59489295
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,87616800.0,ns,60173080
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,86835200.0,ns,60856865
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,89461300.0,ns,61540650
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,89927000.0,ns,62224435
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,91330900.0,ns,62908220
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,91833900.0,ns,63592005
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,92067000.0,ns,64275790
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,93150000.0,ns,64959575
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,93971500.0,ns,65643360
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,95206000.0,ns,66327145
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,96957200.0,ns,67010930
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,97422400.0,ns,67694715
u32 same input,u32 :: midpoint_via_bitwise_ops,,,,98207900.0,ns,68378500
