group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,1499800.0,ns,769630
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,1986200.0,ns,1539260
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,2781700.0,ns,2308890
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,3956200.0,ns,3078520
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,4499800.0,ns,3848150
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,6226400.0,ns,4617780
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,6893600.0,ns,5387410
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,8235100.0,ns,6157040
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,8511200.0,ns,6926670
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,9147600.0,ns,7696300
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,10814700.0,ns,8465930
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,11252100.0,ns,9235560
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,12289700.0,ns,10005190
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,13209100.0,ns,10774820
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,14086900.0,ns,11544450
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,14670400.0,ns,12314080
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,16335900.0,ns,13083710
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,17204900.0,ns,13853340
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,17787900.0,ns,14622970
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,18532200.0,ns,15392600
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,19359700.0,ns,16162230
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,20888700.0,ns,16931860
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,21734000.0,ns,17701490
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,22358500.0,ns,18471120
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,23335900.0,ns,19240750
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,26027300.0,ns,20010380
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,25899400.0,ns,20780010
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,26268800.0,ns,21549640
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,27157500.0,ns,22319270
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,28466900.0,ns,23088900
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,28531900.0,ns,23858530
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,29769300.0,ns,24628160
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,32344300.0,ns,25397790
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,32543100.0,ns,26167420
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,33924200.0,ns,26937050
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,33665900.0,ns,27706680
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,34860300.0,ns,28476310
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,36876800.0,ns,29245940
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,36453500.0,ns,30015570
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,37339800.0,ns,30785200
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,38732600.0,ns,31554830
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,42034000.0,ns,32324460
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,42572500.0,ns,33094090
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,42159100.0,ns,33863720
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,41850500.0,ns,34633350
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,43606500.0,ns,35402980
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,43870300.0,ns,36172610
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,45762900.0,ns,36942240
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,46418900.0,ns,37711870
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,47134400.0,ns,38481500
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,48480300.0,ns,39251130
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,48920500.0,ns,40020760
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,49658700.0,ns,40790390
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,50733300.0,ns,41560020
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,51714800.0,ns,42329650
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,52833700.0,ns,43099280
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,53487100.0,ns,43868910
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,54703300.0,ns,44638540
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,56661300.0,ns,45408170
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,55220500.0,ns,46177800
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,58609200.0,ns,46947430
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,58711100.0,ns,47717060
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,59860100.0,ns,48486690
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,60838800.0,ns,49256320
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,61062600.0,ns,50025950
u32 same input,u32 :: midpoint_via_primitive_promotion,,,,61759500.0,ns,50795580
