group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,1476500.0,ns,680691
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,2161500.0,ns,1361382
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,2940800.0,ns,2042073
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,3884300.0,ns,2722764
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,4908200.0,ns,3403455
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,5858500.0,ns,4084146
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,7361700.0,ns,4764837
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,7681900.0,ns,5445528
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,10409700.0,ns,6126219
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,11540200.0,ns,6806910
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,10768700.0,ns,7487601
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,11730500.0,ns,8168292
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,12563600.0,ns,8848983
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,14173900.0,ns,9529674
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,14977500.0,ns,10210365
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,15795700.0,ns,10891056
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,16525400.0,ns,11571747
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,17783600.0,ns,12252438
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,18546100.0,ns,12933129
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,19478200.0,ns,13613820
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,22062600.0,ns,14294511
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,21521900.0,ns,14975202
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,22697900.0,ns,15655893
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,23712600.0,ns,16336584
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,24348300.0,ns,17017275
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,25228800.0,ns,17697966
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,26500500.0,ns,18378657
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,27304500.0,ns,19059348
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,28419900.0,ns,19740039
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,29072200.0,ns,20420730
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,30179000.0,ns,21101421
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,31782800.0,ns,21782112
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,32602000.0,ns,22462803
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,33816800.0,ns,23143494
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,34270300.0,ns,23824185
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,36083200.0,ns,24504876
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,36329900.0,ns,25185567
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,36933700.0,ns,25866258
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,37750400.0,ns,26546949
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,39826300.0,ns,27227640
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,40230800.0,ns,27908331
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,41398800.0,ns,28589022
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,42460800.0,ns,29269713
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,42947600.0,ns,29950404
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,44108700.0,ns,30631095
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,45481300.0,ns,31311786
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,46437600.0,ns,31992477
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,46698000.0,ns,32673168
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,48038000.0,ns,33353859
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,48539400.0,ns,34034550
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,51050700.0,ns,34715241
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,51217300.0,ns,35395932
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,52424700.0,ns,36076623
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,52844900.0,ns,36757314
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,53794500.0,ns,37438005
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,55048000.0,ns,38118696
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,56144100.0,ns,38799387
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,56560100.0,ns,39480078
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,57723900.0,ns,40160769
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,58839400.0,ns,40841460
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,59626100.0,ns,41522151
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,62025600.0,ns,42202842
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,61731700.0,ns,42883533
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,62984600.0,ns,43564224
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,64073000.0,ns,44244915
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,64760700.0,ns,44925606
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,65510800.0,ns,45606297
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,66611200.0,ns,46286988
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,67525800.0,ns,46967679
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,68421900.0,ns,47648370
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,70051200.0,ns,48329061
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,70633400.0,ns,49009752
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,71406600.0,ns,49690443
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,72729200.0,ns,50371134
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,73964200.0,ns,51051825
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,75536400.0,ns,51732516
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,76060600.0,ns,52413207
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,77306800.0,ns,53093898
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,77891800.0,ns,53774589
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,78468200.0,ns,54455280
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,78791000.0,ns,55135971
u64 same input,u64 :: midpoint_via_bitwise_ops,,,,81195200.0,ns,55816662
