group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,1641000.0,ns,850612
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,2287100.0,ns,1701224
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,3107600.0,ns,2551836
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,3974000.0,ns,3402448
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,4935500.0,ns,4253060
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,6012100.0,ns,5103672
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,7585600.0,ns,5954284
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,7870900.0,ns,6804896
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,9585000.0,ns,7655508
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,10364700.0,ns,8506120
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,10820400.0,ns,9356732
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,12314800.0,ns,10207344
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,13119100.0,ns,11057956
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,14025200.0,ns,11908568
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,14959600.0,ns,12759180
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,16024100.0,ns,13609792
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,17049800.0,ns,14460404
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,18242100.0,ns,15311016
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,19232700.0,ns,16161628
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,19895200.0,ns,17012240
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,20869200.0,ns,17862852
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,21882900.0,ns,18713464
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,23420500.0,ns,19564076
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,23852400.0,ns,20414688
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,25242300.0,ns,21265300
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,25872700.0,ns,22115912
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,27309300.0,ns,22966524
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,28183900.0,ns,23817136
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,29104300.0,ns,24667748
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,29875100.0,ns,25518360
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,31305000.0,ns,26368972
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,31943700.0,ns,27219584
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,33465600.0,ns,28070196
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,33753100.0,ns,28920808
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,34835700.0,ns,29771420
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,36505600.0,ns,30622032
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,37109400.0,ns,31472644
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,39008200.0,ns,32323256
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,39150000.0,ns,33173868
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,40178100.0,ns,34024480
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,41587900.0,ns,34875092
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,43962000.0,ns,35725704
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,43489800.0,ns,36576316
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,43860400.0,ns,37426928
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,44947700.0,ns,38277540
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,46768300.0,ns,39128152
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,49009000.0,ns,39978764
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,48098200.0,ns,40829376
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,49442900.0,ns,41679988
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,49824400.0,ns,42530600
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,53573900.0,ns,43381212
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,55111700.0,ns,44231824
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,53931800.0,ns,45082436
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,53917600.0,ns,45933048
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,55400700.0,ns,46783660
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,56016500.0,ns,47634272
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,57430000.0,ns,48484884
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,58708000.0,ns,49335496
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,59959000.0,ns,50186108
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,60315200.0,ns,51036720
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,61902500.0,ns,51887332
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,62469000.0,ns,52737944
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,63095600.0,ns,53588556
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,64634900.0,ns,54439168
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,65367300.0,ns,55289780
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,66167200.0,ns,56140392
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,66764300.0,ns,56991004
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,68431000.0,ns,57841616
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,69185500.0,ns,58692228
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,70591100.0,ns,59542840
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,71844700.0,ns,60393452
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,73079500.0,ns,61244064
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,74847500.0,ns,62094676
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,75298400.0,ns,62945288
u64 same input,u64 :: midpoint_via_primitive_promotion,,,,78637400.0,ns,63795900
