group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
u8 same input,u8 :: naive_midpoint,,,,983200.0,ns,773109
u8 same input,u8 :: naive_midpoint,,,,2231300.0,ns,1546218
u8 same input,u8 :: naive_midpoint,,,,2986900.0,ns,2319327
u8 same input,u8 :: naive_midpoint,,,,4178900.0,ns,3092436
u8 same input,u8 :: naive_midpoint,,,,4803600.0,ns,3865545
u8 same input,u8 :: naive_midpoint,,,,5517800.0,ns,4638654
u8 same input,u8 :: naive_midpoint,,,,7245200.0,ns,5411763
u8 same input,u8 :: naive_midpoint,,,,7032900.0,ns,6184872
u8 same input,u8 :: naive_midpoint,,,,8515000.0,ns,6957981
u8 same input,u8 :: naive_midpoint,,,,8983600.0,ns,7731090
u8 same input,u8 :: naive_midpoint,,,,10196200.0,ns,8504199
u8 same input,u8 :: naive_midpoint,,,,11101200.0,ns,9277308
u8 same input,u8 :: naive_midpoint,,,,12249500.0,ns,10050417
u8 same input,u8 :: naive_midpoint,,,,23628000.0,ns,10823526
u8 same input,u8 :: naive_midpoint,,,,15022900.0,ns,11596635
u8 same input,u8 :: naive_midpoint,,,,15367800.0,ns,12369744
u8 same input,u8 :: naive_midpoint,,,,17047300.0,ns,13142853
u8 same input,u8 :: naive_midpoint,,,,17328600.0,ns,13915962
u8 same input,u8 :: naive_midpoint,,,,18622700.0,ns,14689071
u8 same input,u8 :: naive_midpoint,,,,19816600.0,ns,15462180
u8 same input,u8 :: naive_midpoint,,,,20700000.0,ns,16235289
u8 same input,u8 :: naive_midpoint,,,,20831600.0,ns,17008398
u8 same input,u8 :: naive_midpoint,,,,22488500.0,ns,17781507
u8 same input,u8 :: naive_midpoint,,,,28883200.0,ns,18554616
u8 same input,u8 :: naive_midpoint,,,,29711800.0,ns,19327725
u8 same input,u8 :: naive_midpoint,,,,26349500.0,ns,20100834
u8 same input,u8 :: naive_midpoint,,,,28452200.0,ns,20873943
u8 same input,u8 :: naive_midpoint,,,,28428600.0,ns,21647052
u8 same input,u8 :: naive_midpoint,,,,30297300.0,ns,22420161
u8 same input,u8 :: naive_midpoint,,,,32173500.0,ns,23193270
u8 same input,u8 :: naive_midpoint,,,,32294300.0,ns,23966379
u8 same input,u8 :: naive_midpoint,,,,34334000.0,ns,24739488
u8 same input,u8 :: naive_midpoint,,,,32066800.0,ns,25512597
u8 same input,u8 :: naive_midpoint,,,,34860100.0,ns,26285706
u8 same input,u8 :: naive_midpoint,,,,38335000.0,ns,27058815
u8 same input,u8 :: naive_midpoint,,,,37797000.0,ns,27831924
u8 same input,u8 :: naive_midpoint,,,,43255000.0,ns,28605033
u8 same input,u8 :: naive_midpoint,,,,66203400.0,ns,29378142
u8 same input,u8 :: naive_midpoint,,,,37988600.0,ns,30151251
u8 same input,u8 :: naive_midpoint,,,,39080100.0,ns,30924360
u8 same input,u8 :: naive_midpoint,,,,39800300.0,ns,31697469
u8 same input,u8 :: naive_midpoint,,,,39741800.0,ns,32470578
u8 same input,u8 :: naive_midpoint,,,,40965700.0,ns,33243687
u8 same input,u8 :: naive_midpoint,,,,41118600.0,ns,34016796
u8 same input,u8 :: naive_midpoint,,,,42401400.0,ns,34789905
u8 same input,u8 :: naive_midpoint,,,,42530200.0,ns,35563014
u8 same input,u8 :: naive_midpoint,,,,43171500.0,ns,36336123
u8 same input,u8 :: naive_midpoint,,,,50782900.0,ns,37109232
u8 same input,u8 :: naive_midpoint,,,,45706300.0,ns,37882341
u8 same input,u8 :: naive_midpoint,,,,50440300.0,ns,38655450
u8 same input,u8 :: naive_midpoint,,,,47325400.0,ns,39428559
u8 same input,u8 :: naive_midpoint,,,,48543400.0,ns,40201668
u8 same input,u8 :: naive_midpoint,,,,49969000.0,ns,40974777
u8 same input,u8 :: naive_midpoint,,,,49900800.0,ns,41747886
u8 same input,u8 :: naive_midpoint,,,,52483300.0,ns,42520995
u8 same input,u8 :: naive_midpoint,,,,53250800.0,ns,43294104
u8 same input,u8 :: naive_midpoint,,,,56927200.0,ns,44067213
u8 same input,u8 :: naive_midpoint,,,,58283700.0,ns,44840322
u8 same input,u8 :: naive_midpoint,,,,56113100.0,ns,45613431
u8 same input,u8 :: naive_midpoint,,,,61639900.0,ns,46386540
u8 same input,u8 :: naive_midpoint,,,,59099200.0,ns,47159649
u8 same input,u8 :: naive_midpoint,,,,61563300.0,ns,47932758
u8 same input,u8 :: naive_midpoint,,,,60809900.0,ns,48705867
u8 same input,u8 :: naive_midpoint,,,,64030400.0,ns,49478976
u8 same input,u8 :: naive_midpoint,,,,61161100.0,ns,50252085
u8 same input,u8 :: naive_midpoint,,,,62764300.0,ns,51025194
u8 same input,u8 :: naive_midpoint,,,,61910200.0,ns,51798303
u8 same input,u8 :: naive_midpoint,,,,62913600.0,ns,52571412
u8 same input,u8 :: naive_midpoint,,,,63188700.0,ns,53344521
u8 same input,u8 :: naive_midpoint,,,,65223600.0,ns,54117630
u8 same input,u8 :: naive_midpoint,,,,69702500.0,ns,54890739
u8 same input,u8 :: naive_midpoint,,,,71565000.0,ns,55663848
u8 same input,u8 :: naive_midpoint,,,,78774700.0,ns,56436957
u8 same input,u8 :: naive_midpoint,,,,73720000.0,ns,57210066
u8 same input,u8 :: naive_midpoint,,,,72773200.0,ns,57983175
u8 same input,u8 :: naive_midpoint,,,,76256700.0,ns,58756284
u8 same input,u8 :: naive_midpoint,,,,74062700.0,ns,59529393
u8 same input,u8 :: naive_midpoint,,,,76454200.0,ns,60302502
u8 same input,u8 :: naive_midpoint,,,,78754200.0,ns,61075611
u8 same input,u8 :: naive_midpoint,,,,74834000.0,ns,61848720
u8 same input,u8 :: naive_midpoint,,,,75795500.0,ns,62621829
u8 same input,u8 :: naive_midpoint,,,,77332100.0,ns,63394938
u8 same input,u8 :: naive_midpoint,,,,76030000.0,ns,64168047
u8 same input,u8 :: naive_midpoint,,,,78309600.0,ns,64941156
u8 same input,u8 :: naive_midpoint,,,,81087300.0,ns,65714265
u8 same input,u8 :: naive_midpoint,,,,83625900.0,ns,66487374
u8 same input,u8 :: naive_midpoint,,,,82568100.0,ns,67260483
u8 same input,u8 :: naive_midpoint,,,,84039300.0,ns,68033592
u8 same input,u8 :: naive_midpoint,,,,98159600.0,ns,68806701
u8 same input,u8 :: naive_midpoint,,,,87373100.0,ns,69579810
u8 same input,u8 :: naive_midpoint,,,,93864700.0,ns,70352919
u8 same input,u8 :: naive_midpoint,,,,85921700.0,ns,71126028
u8 same input,u8 :: naive_midpoint,,,,85795200.0,ns,71899137
u8 same input,u8 :: naive_midpoint,,,,87541500.0,ns,72672246
u8 same input,u8 :: naive_midpoint,,,,87371900.0,ns,73445355
u8 same input,u8 :: naive_midpoint,,,,91149500.0,ns,74218464
u8 same input,u8 :: naive_midpoint,,,,102828300.0,ns,74991573
u8 same input,u8 :: naive_midpoint,,,,96144200.0,ns,75764682
u8 same input,u8 :: naive_midpoint,,,,97929700.0,ns,76537791
u8 same input,u8 :: naive_midpoint,,,,96478600.0,ns,77310900
